46 50 19
23 32 12 7
23 33 11 7
23 33 12 7
23 33 13 5
23 34 11 7
23 34 12 7
23 34 13 1
23 35 11 7
23 35 12 7
23 35 13 1
23 36 11 7
23 36 12 1
23 36 13 4
23 37 11 7
23 37 12 7
23 37 13 1
23 38 12 5
24 29 13 7
24 29 14 1
24 30 13 7
24 30 14 1
24 31 11 7
24 31 12 7
24 31 13 7
24 31 14 1
24 32 10 7
24 32 11 7
24 32 12 0
24 32 13 5
24 32 14 1
24 33 10 7
24 33 11 0
24 33 12 0
24 33 13 0
24 33 14 1
24 34 10 7
24 34 11 0
24 34 12 0
24 34 13 0
24 34 14 1
24 35 10 7
24 35 11 0
24 35 12 0
24 35 13 0
24 35 14 1
24 36 10 7
24 36 11 0
24 36 12 0
24 36 13 0
24 36 14 1
24 37 10 7
24 37 11 0
24 37 12 0
24 37 13 1
24 38 11 7
24 38 12 0
24 38 13 1
24 39 11 7
24 39 12 5
24 39 13 1
24 40 11 7
24 40 12 5
24 40 13 5
25 28 13 7
25 28 14 1
25 29 13 1
25 29 14 1
25 30 11 7
25 30 12 7
25 30 13 0
25 30 14 1
25 31 10 7
25 31 11 0
25 31 12 0
25 31 13 0
25 31 14 1
25 32 10 1
25 32 11 0
25 32 12 0
25 32 13 0
25 32 14 1
25 33 9 7
25 33 10 0
25 33 11 0
25 33 12 0
25 33 13 0
25 33 14 1
25 34 9 7
25 34 10 0
25 34 11 0
25 34 12 0
25 34 13 0
25 34 14 1
25 35 9 7
25 35 10 0
25 35 11 0
25 35 12 0
25 35 13 0
25 35 14 1
25 36 9 7
25 36 10 0
25 36 11 0
25 36 12 0
25 36 13 0
25 36 14 1
25 37 9 7
25 37 10 0
25 37 11 0
25 37 12 0
25 37 13 0
25 37 14 1
25 38 10 7
25 38 11 0
25 38 12 0
25 38 13 0
25 38 14 1
25 39 10 7
25 39 11 0
25 39 12 0
25 39 13 0
25 39 14 1
25 40 11 1
25 40 12 0
25 40 13 0
25 40 14 1
25 41 11 7
25 41 12 5
25 41 13 1
26 28 13 5
26 28 14 1
26 29 13 5
26 29 14 1
26 30 11 7
26 30 12 7
26 30 13 0
26 30 14 1
26 31 10 7
26 31 11 0
26 31 12 0
26 31 13 0
26 31 14 1
26 32 9 7
26 32 10 0
26 32 11 0
26 32 12 0
26 32 13 0
26 32 14 1
26 33 8 7
26 33 9 0
26 33 10 0
26 33 11 0
26 33 12 0
26 33 13 0
26 33 14 1
26 34 8 7
26 34 9 0
26 34 10 0
26 34 11 0
26 34 12 0
26 34 13 0
26 34 14 1
26 35 8 7
26 35 9 0
26 35 10 0
26 35 11 0
26 35 12 0
26 35 13 0
26 35 14 1
26 36 8 7
26 36 9 0
26 36 10 0
26 36 11 0
26 36 12 0
26 36 13 0
26 36 14 1
26 37 9 1
26 37 10 0
26 37 11 0
26 37 12 0
26 37 13 0
26 37 14 1
26 38 9 7
26 38 10 0
26 38 11 0
26 38 12 0
26 38 13 0
26 38 14 1
26 39 10 1
26 39 11 0
26 39 12 0
26 39 13 0
26 39 14 1
26 40 10 7
26 40 11 0
26 40 12 0
26 40 13 0
26 40 14 1
26 41 11 7
26 41 12 5
26 41 13 7
26 41 14 1
27 28 14 1
27 29 12 7
27 29 13 7
27 29 14 1
27 30 11 7
27 30 12 0
27 30 13 0
27 30 14 1
27 31 10 7
27 31 11 0
27 31 12 0
27 31 13 0
27 31 14 1
27 32 8 7
27 32 9 7
27 32 10 0
27 32 11 0
27 32 12 0
27 32 13 0
27 32 14 1
27 33 7 7
27 33 8 0
27 33 9 0
27 33 10 0
27 33 11 0
27 33 12 0
27 33 13 0
27 33 14 1
27 34 7 7
27 34 8 0
27 34 9 0
27 34 10 0
27 34 11 0
27 34 12 0
27 34 13 0
27 34 14 1
27 35 8 1
27 35 9 0
27 35 10 0
27 35 11 0
27 35 12 0
27 35 13 0
27 35 14 1
27 36 8 1
27 36 9 0
27 36 10 0
27 36 11 0
27 36 12 0
27 36 13 0
27 36 14 1
27 37 8 7
27 37 9 0
27 37 10 0
27 37 11 0
27 37 12 0
27 37 13 0
27 37 14 1
27 38 8 7
27 38 9 0
27 38 10 0
27 38 11 0
27 38 12 0
27 38 13 0
27 38 14 1
27 39 9 7
27 39 10 0
27 39 11 0
27 39 12 0
27 39 13 0
27 39 14 1
27 40 10 1
27 40 11 0
27 40 12 0
27 40 13 0
27 40 14 1
27 41 10 7
27 41 11 0
27 41 12 0
27 41 13 0
27 41 14 1
27 42 11 7
27 42 12 7
27 42 13 7
27 42 14 1
28 29 11 7
28 29 12 4
28 29 14 1
28 30 10 7
28 30 11 0
28 30 12 0
28 30 13 1
28 30 14 1
28 31 9 7
28 31 10 0
28 31 11 0
28 31 12 0
28 31 13 7
28 31 14 1
28 32 7 7
28 32 8 7
28 32 9 0
28 32 10 0
28 32 11 0
28 32 12 0
28 32 13 0
28 32 14 1
28 33 7 7
28 33 8 0
28 33 9 0
28 33 10 0
28 33 11 0
28 33 12 0
28 33 13 0
28 33 14 1
28 34 7 7
28 34 8 0
28 34 9 0
28 34 10 0
28 34 11 0
28 34 12 0
28 34 13 0
28 34 14 1
28 35 7 7
28 35 8 0
28 35 9 0
28 35 10 0
28 35 11 0
28 35 12 0
28 35 13 0
28 35 14 1
28 36 7 7
28 36 8 0
28 36 9 0
28 36 10 0
28 36 11 0
28 36 12 0
28 36 13 0
28 36 14 1
28 37 7 7
28 37 8 0
28 37 9 0
28 37 10 0
28 37 11 0
28 37 12 0
28 37 13 0
28 37 14 1
28 38 7 7
28 38 8 7
28 38 9 0
28 38 10 0
28 38 11 0
28 38 12 0
28 38 13 0
28 38 14 1
28 39 9 7
28 39 10 0
28 39 11 0
28 39 12 0
28 39 13 0
28 39 14 1
28 40 10 1
28 40 11 0
28 40 12 0
28 40 13 0
28 40 14 1
28 41 10 7
28 41 11 0
28 41 12 0
28 41 13 0
28 41 14 1
28 42 11 7
28 42 12 7
28 42 13 0
28 42 14 1
28 43 13 7
28 43 14 1
28 44 14 1
29 29 11 7
29 30 10 7
29 30 11 0
29 30 12 1
29 31 8 5
29 31 9 7
29 31 10 0
29 31 11 0
29 31 12 7
29 32 7 7
29 32 8 0
29 32 9 0
29 32 10 0
29 32 11 0
29 32 12 0
29 32 13 7
29 33 7 7
29 33 8 0
29 33 9 0
29 33 10 0
29 33 11 0
29 33 12 0
29 33 13 0
29 33 14 1
29 34 6 7
29 34 7 0
29 34 8 0
29 34 9 0
29 34 10 0
29 34 11 0
29 34 12 0
29 34 13 0
29 34 14 1
29 35 7 1
29 35 8 0
29 35 9 0
29 35 10 0
29 35 11 0
29 35 12 0
29 35 13 0
29 35 14 1
29 36 7 1
29 36 8 0
29 36 9 0
29 36 10 0
29 36 11 0
29 36 12 0
29 36 13 0
29 36 14 1
29 37 7 1
29 37 8 0
29 37 9 0
29 37 10 0
29 37 11 0
29 37 12 0
29 37 13 0
29 37 14 1
29 38 7 7
29 38 8 0
29 38 9 0
29 38 10 0
29 38 11 0
29 38 12 0
29 38 13 0
29 38 14 1
29 39 8 7
29 39 9 7
29 39 10 0
29 39 11 0
29 39 12 0
29 39 13 0
29 39 14 1
29 40 10 1
29 40 11 0
29 40 12 0
29 40 13 0
29 40 14 1
29 41 10 7
29 41 11 0
29 41 12 0
29 41 13 0
29 41 14 1
29 42 11 7
29 42 12 5
29 42 13 0
29 42 14 1
29 43 13 7
29 43 14 1
29 44 13 4
29 44 14 1
30 29 11 7
30 30 9 7
30 30 10 5
30 30 11 0
30 30 12 1
30 31 7 7
30 31 8 7
30 31 9 0
30 31 10 0
30 31 11 0
30 31 12 0
30 31 13 1
30 32 7 1
30 32 8 0
30 32 9 0
30 32 10 0
30 32 11 0
30 32 12 0
30 32 13 1
30 33 6 7
30 33 7 0
30 33 8 0
30 33 9 0
30 33 10 0
30 33 11 0
30 33 12 0
30 33 13 0
30 33 14 1
30 34 6 7
30 34 7 0
30 34 8 0
30 34 9 0
30 34 10 0
30 34 11 0
30 34 12 0
30 34 13 0
30 34 14 1
30 35 6 7
30 35 7 0
30 35 8 0
30 35 9 0
30 35 10 0
30 35 11 0
30 35 12 0
30 35 13 0
30 35 14 1
30 36 6 7
30 36 7 0
30 36 8 0
30 36 9 0
30 36 10 0
30 36 11 0
30 36 12 0
30 36 13 0
30 36 14 1
30 37 7 7
30 37 8 0
30 37 9 0
30 37 10 0
30 37 11 0
30 37 12 0
30 37 13 0
30 37 14 1
30 38 7 7
30 38 8 0
30 38 9 0
30 38 10 0
30 38 11 0
30 38 12 0
30 38 13 0
30 38 14 1
30 39 8 5
30 39 9 7
30 39 10 0
30 39 11 0
30 39 12 0
30 39 13 0
30 39 14 1
30 40 10 7
30 40 11 0
30 40 12 0
30 40 13 0
30 40 14 1
30 41 11 7
30 41 12 5
30 41 13 0
30 41 14 1
30 42 11 7
30 42 12 5
30 42 13 0
30 42 14 1
30 43 13 1
30 43 14 1
30 44 13 1
30 44 14 1
31 29 10 7
31 29 11 7
31 29 12 7
31 30 9 7
31 30 10 0
31 30 11 0
31 30 12 1
31 31 7 7
31 31 8 7
31 31 9 0
31 31 10 0
31 31 11 0
31 31 12 0
31 31 13 1
31 32 6 7
31 32 7 0
31 32 8 0
31 32 9 0
31 32 10 0
31 32 11 0
31 32 12 0
31 32 13 1
31 33 6 7
31 33 7 0
31 33 8 0
31 33 9 0
31 33 10 0
31 33 11 0
31 33 12 0
31 33 13 0
31 33 14 1
31 34 6 1
31 34 7 0
31 34 8 0
31 34 9 0
31 34 10 0
31 34 11 0
31 34 12 0
31 34 13 0
31 34 14 1
31 35 6 7
31 35 7 0
31 35 8 0
31 35 9 0
31 35 10 0
31 35 11 0
31 35 12 0
31 35 13 0
31 35 14 1
31 36 7 1
31 36 8 0
