36 49 19
4 36 11 4
4 37 11 1
5 35 9 4
5 35 10 1
5 35 11 1
5 36 8 1
5 36 9 1
5 36 10 1
5 36 11 0
5 36 12 1
5 37 8 1
5 37 9 4
5 37 10 1
5 37 11 1
5 38 8 1
5 38 9 1
5 38 10 4
5 38 11 1
6 34 8 1
6 34 9 1
6 34 10 1
6 34 11 1
6 35 8 1
6 35 9 0
6 35 10 0
6 35 11 1
6 36 7 1
6 36 8 0
6 36 9 0
6 36 10 0
6 36 11 0
6 36 12 4
6 37 7 1
6 37 8 0
6 37 9 0
6 37 10 0
6 37 11 0
6 37 12 1
6 38 8 1
6 38 9 0
6 38 10 0
6 38 11 1
6 39 7 1
6 39 8 1
6 39 9 1
6 39 10 4
6 40 7 1
7 32 14 4
7 33 7 4
7 33 8 1
7 33 9 1
7 33 10 1
7 33 11 1
7 34 6 1
7 34 7 1
7 34 8 0
7 34 9 0
7 34 10 0
7 34 11 1
7 35 7 1
7 35 8 0
7 35 9 0
7 35 10 0
7 35 11 1
7 36 7 1
7 36 8 0
7 36 9 0
7 36 10 0
7 36 11 0
7 36 12 1
7 37 7 1
7 37 8 0
7 37 9 0
7 37 10 0
7 37 11 0
7 37 12 1
7 38 7 1
7 38 8 0
7 38 9 0
7 38 10 0
7 38 11 1
7 39 7 1
7 39 8 1
7 39 9 0
7 39 10 1
7 39 11 1
7 40 7 1
7 40 9 1
8 31 14 4
8 32 13 4
8 32 14 4
8 33 7 4
8 33 8 1
8 33 9 1
8 33 10 1
8 33 11 4
8 33 14 1
8 34 6 1
8 34 7 0
8 34 8 0
8 34 9 0
8 34 10 0
8 34 11 1
8 34 14 4
8 35 6 1
8 35 7 0
8 35 8 0
8 35 9 0
8 35 10 0
8 35 11 0
8 35 12 1
8 36 6 1
8 36 7 0
8 36 8 0
8 36 9 0
8 36 10 0
8 36 11 0
8 36 12 1
8 37 6 1
8 37 7 0
8 37 8 0
8 37 9 0
8 37 10 0
8 37 11 0
8 37 12 1
8 38 7 1
8 38 8 0
8 38 9 0
8 38 10 0
8 38 11 1
8 39 7 1
8 39 8 0
8 39 9 0
8 39 10 0
8 39 11 1
8 40 8 1
8 40 9 1
8 40 10 4
9 31 14 4
9 32 10 1
9 32 13 4
9 32 14 4
9 33 8 1
9 33 9 1
9 33 10 0
9 33 11 4
9 33 13 4
9 33 14 4
9 34 7 4
9 34 8 0
9 34 9 0
9 34 10 0
9 34 11 4
9 34 14 4
9 35 6 1
9 35 7 0
9 35 8 0
9 35 9 0
9 35 10 0
9 35 11 0
9 35 12 4
9 36 5 1
9 36 6 0
9 36 7 0
9 36 8 0
9 36 9 0
9 36 10 0
9 36 11 0
9 36 12 1
9 37 6 1
9 37 7 0
9 37 8 0
9 37 9 0
9 37 10 0
9 37 11 0
9 37 12 1
9 38 6 1
9 38 7 0
9 38 8 0
9 38 9 0
9 38 10 0
9 38 11 1
9 39 7 1
9 39 8 0
9 39 9 0
9 39 10 0
9 39 11 1
9 40 8 1
9 40 9 1
9 40 10 4
10 32 9 1
10 32 10 4
10 32 12 4
10 32 13 4
10 32 14 4
10 33 8 4
10 33 9 0
10 33 10 0
10 33 11 4
10 33 12 4
10 33 13 0
10 33 14 4
10 34 6 1
10 34 7 4
10 34 8 0
10 34 9 0
10 34 10 0
10 34 11 0
10 34 12 4
10 34 13 4
10 34 14 4
10 35 6 4
10 35 7 0
10 35 8 0
10 35 9 0
10 35 10 0
10 35 11 0
10 35 12 4
10 36 5 1
10 36 6 0
10 36 7 0
10 36 8 0
10 36 9 0
10 36 10 0
10 36 11 0
10 36 12 1
10 37 6 1
10 37 7 0
10 37 8 0
10 37 9 0
10 37 10 0
10 37 11 0
10 37 12 1
10 38 6 1
10 38 7 0
10 38 8 0
10 38 9 0
10 38 10 0
10 38 11 0
10 38 12 1
10 39 7 1
10 39 8 0
10 39 9 0
10 39 10 0
10 39 11 1
10 40 8 1
10 40 9 1
10 40 10 4
11 32 8 1
11 32 9 4
11 32 10 4
11 32 11 4
11 32 12 4
11 32 13 4
11 32 14 4
11 33 7 1
11 33 8 0
11 33 9 0
11 33 10 0
11 33 11 0
11 33 12 0
11 33 13 0
11 33 14 1
11 34 6 4
11 34 7 0
11 34 8 0
11 34 9 0
11 34 10 0
11 34 11 0
11 34 12 0
11 34 13 0
11 34 14 1
11 35 5 1
11 35 6 0
11 35 7 0
11 35 8 0
11 35 9 0
11 35 10 0
11 35 11 0
11 35 12 0
11 35 13 4
11 35 14 4
11 36 5 1
11 36 6 0
11 36 7 0
11 36 8 0
11 36 9 0
11 36 10 0
11 36 11 0
11 36 12 0
11 36 13 4
11 37 5 1
11 37 6 0
11 37 7 0
11 37 8 0
11 37 9 0
11 37 10 0
11 37 11 0
11 37 12 0
11 37 13 4
11 38 6 4
11 38 7 0
11 38 8 0
11 38 9 0
11 38 10 0
11 38 11 0
11 38 12 1
11 39 6 1
11 39 7 0
11 39 8 0
11 39 9 0
11 39 10 0
11 39 11 1
11 40 7 4
11 40 8 1
11 40 9 1
11 40 10 4
12 31 12 4
12 32 8 4
12 32 9 4
12 32 10 4
12 32 11 4
12 32 12 0
12 32 13 4
12 32 14 4
12 33 7 4
12 33 8 0
12 33 9 0
12 33 10 0
12 33 11 0
12 33 12 0
12 33 13 0
12 33 14 4
12 34 5 4
12 34 6 1
12 34 7 0
12 34 8 0
12 34 9 0
12 34 10 0
12 34 11 0
12 34 12 0
12 34 13 0
12 34 14 4
12 35 5 1
12 35 6 0
12 35 7 0
12 35 8 0
12 35 9 0
12 35 10 0
12 35 11 0
12 35 12 0
12 35 13 0
12 35 14 4
12 36 5 4
12 36 6 0
12 36 7 0
12 36 8 0
12 36 9 0
12 36 10 0
12 36 11 0
12 36 12 0
12 36 13 4
12 37 5 1
12 37 6 0
12 37 7 0
12 37 8 0
12 37 9 0
12 37 10 0
12 37 11 0
12 37 12 0
12 37 13 4
12 38 5 1
12 38 6 0
12 38 7 0
12 38 8 0
12 38 9 0
12 38 10 0
12 38 11 0
12 38 12 1
12 39 6 1
12 39 7 0
12 39 8 0
12 39 9 0
12 39 10 0
12 39 11 0
12 39 12 1
12 40 7 4
12 40 8 1
12 40 9 0
12 40 10 4
12 40 11 4
12 41 9 1
13 32 8 4
13 32 9 1
13 32 10 4
13 32 11 4
13 32 12 4
13 32 13 4
13 33 7 1
13 33 8 0
13 33 9 0
13 33 10 0
13 33 11 0
13 33 12 0
13 33 13 1
13 34 5 4
13 34 6 4
13 34 7 0
13 34 8 0
13 34 9 0
13 34 10 0
13 34 11 0
13 34 12 0
13 34 13 4
13 35 5 4
13 35 6 0
13 35 7 0
13 35 8 0
13 35 9 0
13 35 10 0
13 35 11 0
13 35 12 0
13 35 13 4
13 36 4 4
13 36 5 0
13 36 6 0
13 36 7 0
13 36 8 0
13 36 9 0
13 36 10 0
13 36 11 0
13 36 12 0
13 36 13 4
13 37 5 4
13 37 6 0
13 37 7 0
13 37 8 0
13 37 9 0
13 37 10 0
13 37 11 0
13 37 12 0
13 37 13 4
13 38 5 4
13 38 6 0
13 38 7 0
13 38 8 0
13 38 9 0
13 38 10 0
13 38 11 0
13 38 12 0
13 38 13 4
13 39 6 4
13 39 7 0
13 39 8 0
13 39 9 0
13 39 10 0
13 39 11 0
13 39 12 4
13 40 7 1
13 40 8 0
13 40 9 0
13 40 10 0
13 40 11 0
13 40 12 4
13 41 8 4
13 41 9 4
13 41 10 4
13 41 11 4
14 32 8 4
14 32 9 4
14 32 10 4
14 32 11 4
14 32 12 4
14 32 13 4
14 33 6 4
14 33 7 1
14 33 8 0
14 33 9 0
14 33 10 0
14 33 11 0
14 33 12 0
14 33 13 4
14 34 5 1
14 34 6 0
14 34 7 0
14 34 8 0
14 34 9 0
14 34 10 0
14 34 11 0
14 34 12 0
14 34 13 4
14 35 5 1
14 35 6 0
14 35 7 0
14 35 8 0
14 35 9 0
14 35 10 0
14 35 11 0
14 35 12 0
14 35 13 1
14 36 4 1
14 36 5 0
14 36 6 0
14 36 7 0
14 36 8 0
14 36 9 0
14 36 10 0
14 36 11 0
14 36 12 0
14 36 13 1
14 37 5 1
14 37 6 0
14 37 7 0
14 37 8 0
14 37 9 0
14 37 10 0
14 37 11 0
14 37 12 0
14 37 13 1
14 38 5 4
14 38 6 0
14 38 7 0
14 38 8 0
14 38 9 0
14 38 10 0
14 38 11 0
14 38 12 0
14 38 13 4
14 39 6 4
14 39 7 0
14 39 8 0
14 39 9 0
14 39 10 0
14 39 11 0
14 39 12 0
14 39 13 4
14 40 6 4
14 40 7 4
14 40 8 0
14 40 9 0
14 40 10 0
14 40 11 0
14 40 12 0
14 40 13 4
14 41 8 4
14 41 9 4
14 41 10 4
14 41 11 0
14 41 12 4
14 41 13 1
14 41 14 4
14 42 11 4
14 42 12 4
14 42 13 4
14 42 14 4
14 43 14 4
15 32 8 1
15 32 9 1
15 32 10 1
15 32 11 4
15 32 12 4
15 33 6 1
15 33 7 1
15 33 8 0
15 33 9 0
15 33 10 0
15 33 11 0
15 33 12 4
15 34 6 4
15 34 7 0
15 34 8 0
15 34 9 0
15 34 10 0
15 34 11 0
15 34 12 4
15 35 5 4
15 35 6 0
15 35 7 0
15 35 8 0
15 35 9 0
15 35 10 0
15 35 11 0
15 35 12 4
15 36 4 1
15 36 5 0
15 36 6 0
15 36 7 0
15 36 8 0
