48  108  29
31  90  4  7
31  91  4  7
29  90  5  7
29  91  5  1
29  92  5  1
30  88  5  7
30  89  5  7
30  90  5  7
30  91  5  1
30  92  5  8
31  87  5  7
31  88  5  7
31  89  5  1
31  90  5  0
31  91  5  0
31  92  5  4
32  85  5  7
32  86  5  7
32  87  5  7
32  88  5  1
32  89  5  1
32  90  5  7
32  91  5  8
32  92  5  7
33  84  5  7
33  85  5  7
33  86  5  1
33  87  5  1
33  88  5  1
33  89  5  7
33  90  5  7
34  84  5  7
34  85  5  1
34  86  5  7
34  87  5  7
34  88  5  7
34  89  5  7
35  84  5  7
35  85  5  7
35  86  5  7
28  87  6  7
28  88  6  7
28  89  6  7
28  90  6  7
28  91  6  1
28  92  6  7
29  86  6  7
29  87  6  7
29  88  6  1
29  89  6  1
29  90  6  0
29  91  6  0
29  92  6  5
30  85  6  7
30  86  6  7
30  87  6  1
30  88  6  0
30  89  6  0
30  90  6  0
30  91  6  0
30  92  6  0
30  93  6  4
31  84  6  7
31  85  6  1
31  86  6  1
31  87  6  0
31  88  6  0
31  89  6  0
31  90  6  0
31  91  6  0
31  92  6  4
32  84  6  1
32  85  6  0
32  86  6  0
32  87  6  0
32  88  6  0
32  89  6  0
32  90  6  0
32  91  6  0
32  92  6  1
33  83  6  4
33  84  6  0
33  85  6  0
33  86  6  0
33  87  6  0
33  88  6  0
33  89  6  0
33  90  6  0
33  91  6  7
33  92  6  7
34  83  6  4
34  84  6  0
34  85  6  0
34  86  6  0
34  87  6  0
34  88  6  0
34  89  6  0
34  90  6  1
34  91  6  1
34  92  6  7
35  83  6  4
35  84  6  0
35  85  6  0
35  86  6  0
35  87  6  1
35  88  6  1
35  89  6  1
35  90  6  7
35  91  6  7
36  84  6  4
36  85  6  5
36  86  6  7
36  87  6  7
36  88  6  7
36  89  6  7
36  90  6  7
23  84  7  7
24  84  7  7
24  85  7  7
24  86  7  7
25  85  7  7
25  86  7  7
26  85  7  7
26  86  7  7
26  87  7  7
26  88  7  7
26  89  7  7
27  84  7  7
27  85  7  7
27  86  7  1
27  87  7  1
27  88  7  1
27  89  7  7
27  90  7  1
27  91  7  7
28  84  7  7
28  85  7  1
28  86  7  1
28  87  7  0
28  88  7  0
28  89  7  0
28  90  7  0
28  91  7  0
28  92  7  7
29  84  7  7
29  85  7  1
29  86  7  0
29  87  7  0
29  88  7  0
29  89  7  0
29  90  7  0
29  91  7  0
29  92  7  7
30  84  7  7
30  85  7  0
30  86  7  0
30  87  7  0
30  88  7  0
30  89  7  0
30  90  7  0
30  91  7  0
30  92  7  0
30  93  7  7
31  84  7  8
31  85  7  0
31  86  7  0
31  87  7  0
31  88  7  0
31  89  7  0
31  90  7  0
31  91  7  0
31  92  7  0
31  93  7  7
32  83  7  4
32  84  7  0
32  85  7  0
32  86  7  0
32  87  7  0
32  88  7  0
32  89  7  0
32  90  7  0
32  91  7  0
32  92  7  0
32  93  7  5
33  83  7  5
33  84  7  0
33  85  7  0
33  86  7  0
33  87  7  0
33  88  7  0
33  89  7  0
33  90  7  0
33  91  7  0
33  92  7  0
33  93  7  5
34  83  7  8
34  84  7  0
34  85  7  0
34  86  7  0
34  87  7  0
34  88  7  0
34  89  7  0
34  90  7  0
34  91  7  0
34  92  7  1
35  83  7  8
35  84  7  0
35  85  7  0
35  86  7  0
35  87  7  0
35  88  7  0
35  89  7  0
35  90  7  0
35  91  7  0
35  92  7  1
36  84  7  7
36  85  7  0
36  86  7  0
36  87  7  0
36  88  7  0
36  89  7  0
36  90  7  0
36  91  7  1
36  92  7  1
37  85  7  7
37  86  7  5
37  87  7  1
37  88  7  1
37  89  7  1
37  90  7  1
37  91  7  1
37  92  7  7
38  87  7  7
38  88  7  7
38  89  7  7
38  90  7  7
38  91  7  7
20  83  8  7
20  84  8  7
20  85  8  7
21  81  8  7
21  82  8  7
21  83  8  7
21  84  8  1
21  85  8  7
21  86  8  7
22  81  8  7
22  82  8  7
22  83  8  1
