44  41  19
25  28  4  1
26  27  4  1
26  28  4  1
27  27  4  1
28  26  4  1
28  27  4  1
29  25  4  1
29  26  4  1
29  27  4  1
30  25  4  1
30  26  4  1
30  27  4  1
31  24  4  1
31  25  4  1
31  26  4  1
32  24  4  1
32  25  4  1
32  26  4  1
33  24  4  1
21  30  5  1
21  31  5  1
22  29  5  1
22  30  5  1
22  31  5  1
23  27  5  4
23  28  5  8
23  29  5  1
23  30  5  4
23  31  5  1
24  27  5  1
24  28  5  4
24  29  5  1
24  30  5  1
24  31  5  1
25  26  5  1
25  27  5  1
25  28  5  0
25  29  5  4
25  30  5  4
25  31  5  1
26  26  5  1
26  27  5  0
26  28  5  0
26  29  5  4
26  30  5  4
27  25  5  1
27  26  5  1
27  27  5  0
27  28  5  1
27  29  5  1
27  30  5  1
28  24  5  1
28  25  5  1
28  26  5  0
28  27  5  0
28  28  5  1
28  29  5  1
29  24  5  1
29  25  5  0
29  26  5  0
29  27  5  0
29  28  5  1
29  29  5  1
30  23  5  1
30  24  5  1
30  25  5  0
30  26  5  0
30  27  5  0
30  28  5  1
31  23  5  1
31  24  5  0
31  25  5  0
31  26  5  0
31  27  5  1
31  28  5  1
32  22  5  1
32  23  5  1
32  24  5  0
32  25  5  0
32  26  5  0
32  27  5  1
32  28  5  1
33  22  5  1
33  23  5  1
33  24  5  0
33  25  5  1
33  26  5  1
33  27  5  1
34  23  5  1
34  24  5  1
34  25  5  1
34  26  5  1
35  23  5  1
35  24  5  1
35  25  5  1
19  30  6  1
19  31  6  1
19  32  6  1
20  29  6  1
20  30  6  4
20  31  6  4
20  32  6  1
21  27  6  1
21  28  6  1
21  29  6  4
21  30  6  0
21  31  6  0
21  32  6  1
22  27  6  4
22  28  6  4
22  29  6  0
22  30  6  0
22  31  6  0
22  32  6  1
23  26  6  1
23  27  6  0
23  28  6  0
23  29  6  0
23  30  6  0
23  31  6  0
23  32  6  1
24  25  6  1
24  26  6  1
24  27  6  0
24  28  6  0
24  29  6  0
24  30  6  0
24  31  6  0
24  32  6  4
25  25  6  1
25  26  6  0
25  27  6  0
25  28  6  0
25  29  6  0
25  30  6  0
25  31  6  0
25  32  6  4
26  24  6  1
26  25  6  1
26  26  6  0
26  27  6  0
26  28  6  0
26  29  6  0
26  30  6  0
26  31  6  4
27  24  6  1
27  25  6  0
27  26  6  0
27  27  6  0
27  28  6  0
27  29  6  0
27  30  6  0
27  31  6  4
28  23  6  1
28  24  6  0
28  25  6  0
28  26  6  0
28  27  6  0
28  28  6  0
28  29  6  0
28  30  6  4
28  31  6  1
29  23  6  1
29  24  6  0
29  25  6  0
