32  124  57
17  110  5  1
18  107  5  1
18  108  5  1
18  109  5  1
18  110  5  1
18  111  5  4
18  112  5  1
19  105  5  1
19  106  5  4
19  107  5  1
19  108  5  1
19  109  5  1
19  110  5  1
20  105  5  1
20  106  5  4
10  111  6  1
11  111  6  1
11  112  6  1
12  111  6  1
12  112  6  1
13  111  6  1
13  112  6  1
17  107  6  1
17  108  6  1
17  109  6  1
17  110  6  1
17  111  6  1
17  112  6  1
17  113  6  1
17  114  6  1
17  115  6  4
18  105  6  1
18  106  6  4
18  107  6  0
18  108  6  0
18  109  6  0
18  110  6  0
18  111  6  0
18  112  6  0
18  113  6  1
18  114  6  4
19  104  6  1
19  105  6  0
19  106  6  0
19  107  6  0
19  108  6  0
19  109  6  0
19  110  6  4
19  111  6  4
19  112  6  1
20  103  6  4
20  104  6  1
20  105  6  0
20  106  6  0
20  107  6  1
20  108  6  1
20  109  6  1
21  102  6  4
21  103  6  1
21  104  6  1
21  105  6  1
21  106  6  4
10  111  7  1
11  110  7  1
11  111  7  0
11  112  7  1
12  110  7  1
12  111  7  0
12  112  7  0
12  113  7  1
13  110  7  1
13  111  7  0
13  112  7  0
13  113  7  1
14  110  7  1
14  111  7  1
14  112  7  1
15  110  7  1
16  107  7  1
16  108  7  1
16  109  7  1
16  110  7  1
16  111  7  1
16  112  7  1
16  113  7  1
16  114  7  1
16  115  7  1
16  116  7  1
17  106  7  1
17  107  7  0
17  108  7  0
17  109  7  0
17  110  7  0
17  111  7  0
17  112  7  0
17  113  7  0
17  114  7  0
17  115  7  0
17  116  7  1
18  105  7  1
18  106  7  0
18  107  7  0
18  108  7  0
18  109  7  0
18  110  7  0
18  111  7  0
18  112  7  0
18  113  7  0
18  114  7  4
18  115  7  4
18  116  7  1
19  102  7  1
19  103  7  1
19  104  7  1
19  105  7  0
19  106  7  0
19  107  7  0
19  108  7  0
19  109  7  0
19  110  7  0
19  111  7  1
19  112  7  1
19  113  7  1
20  101  7  1
20  102  7  1
20  103  7  0
20  104  7  0
20  105  7  0
20  106  7  0
20  107  7  0
20  108  7  1
20  109  7  1
20  110  7  1
21  101  7  1
21  102  7  4
21  103  7  1
21  104  7  1
21  105  7  1
21  106  7  4
21  107  7  4
11  110  8  1
11  111  8  1
11  112  8  1
12  110  8  1
12  111  8  0
12  112  8  0
12  113  8  1
13  109  8  1
13  110  8  0
13  111  8  0
13  112  8  0
13  113  8  1
14  109  8  1
14  110  8  0
14  111  8  0
14  112  8  0
14  113  8  1
15  109  8  4
15  110  8  0
15  111  8  1
15  112  8  1
15  113  8  1
15  114  8  1
15  115  8  1
16  107  8  1
16  108  8  1
16  109  8  0
16  110  8  0
16  111  8  0
16  112  8  0
16  113  8  0
16  114  8  0
16  115  8  0
16  116  8  1
16  117  8  1
